TMDB ID,Title,Budget,IMDB ID,Release Date,Revenue,Primary Genre,Opening Weekend Theaters,Opening Weekend BO,Domestic BO,International BO,Total BO,RT Audience,RT Critic,Domestic Distributor,International Distributor,Director,Logged,Poster Path,Distributor,Widest Release Theaters,Wikidata ID
840326,Sisu,6200000,tt14846026,2022-09-09,13000000,,,,,,,,,,,,,/ygO9lowFMXWymATCrhoQXd6gCEh.jpg,,,
1892,Return of the Jedi,32350000,tt0086190,1983-05-25,572700000,,,,,,,,,,,,,/jQYlydvHm3kUix1f8prMucrplhm.jpg,,,
14836,Coraline,60000000,tt0327597,2009-02-05,172750668,,,,,,,,,,,,,/4jeFXQYytChdZYE9JYO7Un87IlW.jpg,,,
762430,Retribution,20000000,tt6906292,2023-08-23,16700000,,,,,,,,,,,,,/oUmmY7QWWn7OhKlcPOnirHJpP1F.jpg,,,
1092329,Journey to Bethlehem,6000000,tt13848804,2023-11-09,7778330,,,,,,,,,,,,,/cJgF1vjiNoRAh5UePmiPfjrw6Iv.jpg,,,
621587,Next Goal Wins,14000000,tt10767052,2023-11-16,18062279,,,,,,,,,,,,,/xTQCL1zGugIck8MgvJ2lXSrxENR.jpg,,,
739405,Operation Fortune: Ruse de Guerre,50000000,tt7985704,2023-01-04,37800000,,,,,,,,,,,,,/uo7vWfQUlVwueYTDRicXOJa8Oow.jpg,,,
758336,Love Again,9000000,tt10276482,2023-05-04,10000000,,,,,,,,,,,,,/koswMk0y7jGcyofV1sBccnNtY0B.jpg,,,
823482,Dream Scenario,10000000,tt21942866,2023-11-10,14114415,,,,,,,,,,,,,/eMaAi8wTI5wON8pp33w3BDuGyZ8.jpg,,,
,,,tt26658653,,,,,,,,,,,,,,,,,,
913673,Nefarious,3000000,tt14537248,2023-04-14,5400000,,,,,,,,,,,,,/xwjWUAajQJPj5aik1tounPguZbz.jpg,,,
878361,Big George Foreman,32000000,tt12226632,2023-04-27,3800000,,,,,,,,,,,,,/fdVd6thTstt0MQ4dUC1IXiOXpxv.jpg,,,
1114653,Waitress: The Musical,0,tt15477042,2023-12-07,0,,,,,,,,,,,,,/gx6SIVYE9Ka7BtQ3VqEnB7dB31q.jpg,,,
720557,Tiger 3,38000000,tt18411490,2023-11-12,47000000,,,,,,,,,,,,,/7wgED7Yx9VLcNWSO91VgwicHmMD.jpg,,,
897087,Freelance,40000000,tt15744298,2023-10-05,9112817,,,,,,,,,,,,,/7Bd4EUOqQDKZXA6Od5gkfzRNb0.jpg,,,
24128,Stop Making Sense,1200000,tt0088178,1984-11-16,12471520,,,,,,,,,,,,,/utNpurUe1MMjEaHqvpkfxgfpSnV.jpg,,,
667216,Infinity Pool,4500000,tt10365998,2023-01-27,5078400,,,,,,,,,,,,,/5DNRr2juXdwtvktwXxwuk9Usk8O.jpg,,,
915935,Anatomy of a Fall,6700000,tt17009710,2023-08-23,35634133,,,,,,,,,,,,,/kQs6keheMwCxJxrzV83VUwFtHkB.jpg,,,
842675,The Wandering Earth II,73800000,tt13539646,2023-01-22,604400000,,,,,,,,,,,,,/hr7SKKj6QpfS32dF0HCmVi6R7J4.jpg,,,
10439,Hocus Pocus,28000000,tt0107120,1993-07-16,51663767,,,,,,,,,,,,,/by4D4Q9NlUjFSEUA1yrxq6ksXmk.jpg,,,
890215,You Hurt My Feelings,0,tt15771916,2023-05-26,5000000,,,,,,,,,,,,,/do9UvkcDJeYbhYVoQPS00yOCYdc.jpg,,,
717930,Kandahar,30000000,tt5761544,2023-05-25,9400000,,,,,,,,,,,,,/lCanGgsqF4xD2WA5NF8PWeT3IXd.jpg,,,
899524,Golda,0,tt14454876,2023-08-23,5700000,,,,,,,,,,,,,/fqOOLq12rOMCTcWzxaJ5VUROxp3.jpg,,,
753336,Origin,38000000,tt13321244,2023-12-08,4474931,,,,,,,,,,,,,/dY0m1fypdNPp61kcmLdsk7KIR7C.jpg,,,
1024773,It Lives Inside,0,tt15683734,2023-09-06,4800000,,,,,,,,,,,,,/73gIfV8gDwkVgUrFDzt4TfZC9Zc.jpg,,,
536437,Hypnotic,70000000,tt8080204,2023-05-11,16014123,,,,,,,,,,,,,/3IhGkkalwXguTlceGSl8XUJZOVI.jpg,,,
844417,Marlowe,20000000,tt6722802,2023-02-15,6262663,,,,,,,,,,,,,/vjAMj81oYBryzGBhJk4gcK0M636.jpg,,,
676710,The Amazing Maurice,17000000,tt10473036,2022-12-16,21110363,,,,,,,,,,,,,/ydhZeUjbzVEFclUpMhLfDZSavUY.jpg,,,
816904,Mummies,12000000,tt23177868,2023-01-05,53400000,,,,,,,,,,,,,/r6Ghtw9ENhTXfeUsd1Al20ZAvX.jpg,,,
994108,All of Us Strangers,5000000,tt21192142,2023-12-22,14864960,,,,,,,,,,,,,/aviJMFZSnnCAsCVyJGaPNx4Ef3i.jpg,,,
986054,Theater Camp,5000000,tt21232992,2023-07-13,4400000,,,,,,,,,,,,,/2osbLk1MMt9qjXPKSB2hMcBUyrw.jpg,,,
858082,Ponniyin Selvan: Part II,0,tt22444570,2023-04-28,0,,,,,,,,,,,,,/1fMM5yjLYJNfO3CSQBpfC1kqeIK.jpg,,,
